nome_famiglia	contrast_type	specie_con_valore_alto	specie_con_valore_basso	valore_specie_con_valore_alto	valore_specie_con_valore_basso	nu
Cercopithecidae	CONTROL	Macaca_thibetana	Lophocebus_aterrimus	15.55	6.8	0.80724415939405
Cercopithecidae	CONTROL	Papio_cynocephalus	Allochrocebus_solatus	17.05	6.35	0.806665454346135
Cercopithecidae	CONTROL	Theropithecus_gelada	Cercopithecus_mitis	15.35	4.89	0.806623938454321
Cercopithecidae	CONTROL	Papio_papio	Macaca_nigra	17.5	7.68	0.806582352660503
Cercopithecidae	CONTROL	Semnopithecus_hypoleucos	Miopithecus_ogouensis	13.1	1.25	0.806313539807742
Cercopithecidae	CONTROL	Semnopithecus_schistaceus	Semnopithecus_entellus	17	11.44	0.805931633632837
Cercopithecidae	CONTROL	Macaca_thibetana	Cercopithecus_neglectus	15.55	5.74	0.805218450267304
Cercopithecidae	CONTROL	Semnopithecus_schistaceus	Cercopithecus_lowei	17	3.9	0.805001919429351
Cercopithecidae	CONTROL	Semnopithecus_schistaceus	Trachypithecus_germaini	17	8.83	0.804430984487159
Cercopithecidae	CONTROL	Papio_ursinus	Piliocolobus_tephrosceles	22.3	8.75	0.803745392833738
Cercopithecidae	CONTROL	Semnopithecus_schistaceus	Cercopithecus_hamlyni	17	4.43	0.803016756766715
Cercopithecidae	CONTROL	Semnopithecus_schistaceus	Cercopithecus_mona	17	4.05	0.802374671408781
Cercopithecidae	CONTROL	Papio_anubis	Cercopithecus_nictitans	16.65	5.46	0.802302526481392
Cercopithecidae	CONTROL	Nasalis_larvatus	Trachypithecus_obscurus	15.75	6.99	0.801794771497188
Cercopithecidae	CONTROL	Papio_ursinus	Trachypithecus_germaini	22.3	8.83	0.801216173733099
Cercopithecidae	CONTROL	Papio_cynocephalus	Macaca_silenus	17.05	7.5	0.800979359024022
Cercopithecidae	CONTROL	Macaca_thibetana	Macaca_nemestrina	15.55	8.89	0.800468643585655
Cercopithecidae	CONTROL	Papio_cynocephalus	Macaca_nigra	17.05	7.68	0.800088933393553
Cercopithecidae	CONTROL	Papio_ursinus	Theropithecus_gelada	22.3	15.35	0.80005970653703
Cercopithecidae	CONTROL	Macaca_arctoides	Miopithecus_ogouensis	10.3	1.25	0.798982715967254
Cercopithecidae	CONTROL	Papio_anubis	Macaca_leonina	16.65	6.7	0.798560962013908
Cercopithecidae	CONTROL	Nasalis_larvatus	Cercopithecus_mona	15.75	4.05	0.798500425095817
Cercopithecidae	CONTROL	Nasalis_larvatus	Trachypithecus_crepusculus	15.75	6.65	0.798479953621324
Cercopithecidae	CONTROL	Papio_ursinus	Colobus_guereza	22.3	8.89	0.797229940424695
