Trait	Species1	Species2	PatristicDistance	AbsDiff	AbsDiff_z	Nu	eNu
BodyMass_kg	Allenopithecus_nigroviridis	Saguinus_inustus	27.536717	4.61	0.459453534050186	0.230116759973156	0.229
BodyMass_kg	Allenopithecus_nigroviridis	Saguinus_labiatus	27.686609	4.79	0.477393151431756	0.247093868126912	0.25
BodyMass_kg	Allenopithecus_nigroviridis	Saguinus_midas	27.704183	4.74	0.47240992438132	0.2471301841938	0.252
BodyMass_kg	Allenopithecus_nigroviridis	Saguinus_mystax	27.686609	4.77	0.475399860611581	0.237273430988008	0.239
BodyMass_kg	Allenopithecus_nigroviridis	Saguinus_oedipus	28.593817	4.89	0.487359605532627	0.245690037467668	0.252
BodyMass_kg	Allenopithecus_nigroviridis	Saimiri_cassiquiarensis	24.142803	4.42	0.44051727125853	0.241210619030121	0.238
BodyMass_kg	Allenopithecus_nigroviridis	Saimiri_macrodon	24.142803	4.31	0.429554171747571	0.238940303807238	0.244
BodyMass_kg	Allenopithecus_nigroviridis	Saimiri_oerstedii	24.019896	4.51	0.449487079949315	0.246932189890612	0.257
BodyMass_kg	Allenopithecus_nigroviridis	Saimiri_sciureus	24.075821	4.48	0.446497143719053	0.241380103141759	0.247
BodyMass_kg	Allenopithecus_nigroviridis	Saimiri_ustus	24.019896	4.44	0.442510562078705	0.240101496958531	0.239
BodyMass_kg	Allenopithecus_nigroviridis	Sapajus_apella	25.784896	2.29	0.228231798909962	0.115270749773017	0.112
BodyMass_kg	Allenopithecus_nigroviridis	Sapajus_macrocephalus	25.784896	2.25	0.224245217269614	0.11706763242935	0.116
BodyMass_kg	Allenopithecus_nigroviridis	Semnopithecus_entellus	10.995839	6.14	0.611940281793524	0.488291115173686	0.495
BodyMass_kg	Allenopithecus_nigroviridis	Semnopithecus_hypoleucos	10.648366	7.8	0.777383419867995	0.616129303711166	0.626
BodyMass_kg	Allenopithecus_nigroviridis	Semnopithecus_johnii	10.269569	6.3	0.627886608354919	0.515718833573791	0.522
BodyMass_kg	Allenopithecus_nigroviridis	Semnopithecus_schistaceus	10.995839	11.7	1.16607512980199	0.793813281137435	0.805
BodyMass_kg	Allenopithecus_nigroviridis	Semnopithecus_vetulus	10.148479	1.73	0.172419655945081	0.163516113594023	0.156
BodyMass_kg	Allenopithecus_nigroviridis	Tarsius_bancanus	20.0868	5.18	0.516262322425155	0.299237216911844	0.304
BodyMass_kg	Allenopithecus_nigroviridis	Tarsius_lariang	19.593222	5.19	0.517258967835242	0.297861139002975	0.312
BodyMass_kg	Allenopithecus_nigroviridis	Tarsius_wallacei	19.593222	5.193	0.517557961458269	0.299218074597205	0.305
BodyMass_kg	Allenopithecus_nigroviridis	Trachypithecus_crepusculus	10.794932	1.35	0.134547130361768	0.104066832339163	0.106
BodyMass_kg	Allenopithecus_nigroviridis	Trachypithecus_cristatus	11.593194	0.95	0.0946813139582814	0.0739818181284654	0.079
BodyMass_kg	Allenopithecus_nigroviridis	Trachypithecus_francoisi	11.543058	2.22	0.221255281039352	0.183860105643111	0.187
BodyMass_kg	Allenopithecus_nigroviridis	Trachypithecus_geei	11.775044	4.85	0.483373023892279	0.377784160567328	0.382
BodyMass_kg	Allenopithecus_nigroviridis	Trachypithecus_germaini	10.924431	3.53	0.351815829760772	0.283346469391085	0.289
BodyMass_kg	Allenopithecus_nigroviridis	Trachypithecus_hatinhensis	11.471217	1.975	0.196837468492217	0.162773912634497	0.169
BodyMass_kg	Allenopithecus_nigroviridis	Trachypithecus_laotum	11.471217	1.7	0.169429719714819	0.138021190420316	0.139
BodyMass_kg	Allenopithecus_nigroviridis	Trachypithecus_leucocephalus	11.543058	2.985	0.297498654911021	0.242916897660854	0.245
BodyMass_kg	Allenopithecus_nigroviridis	Trachypithecus_obscurus	10.794932	1.69	0.168433074304732	0.132558506605753	0.135
BodyMass_kg	Allenopithecus_nigroviridis	Trachypithecus_phayrei	10.878955	2.14	0.213282117758655	0.164298624779052	0.155
BodyMass_kg	Allenopithecus_nigroviridis	Trachypithecus_pileatus	11.775044	5.63	0.561111365879078	0.425208343467875	0.419
BodyMass_kg	Allenopithecus_nigroviridis	Varecia_rubra	33.151962	2.035	0.20281734095274	0.0941973399245207	0.098
BodyMass_kg	Allenopithecus_nigroviridis	Varecia_variegata	33.151962	1.75	0.174412946765255	0.0885311072247826	0.093
BodyMass_kg	Allochrocebus_lhoesti	Alouatta_belzebul	27.911705	0.9	0.0896980869078455	0.0457549235755022	0.053
BodyMass_kg	Allochrocebus_lhoesti	Alouatta_caraya	26.797909	0.12	0.0119597449210461	0.00602462534138158	0.004
BodyMass_kg	Allochrocebus_lhoesti	Alouatta_discolor	27.911705	0.87	0.086708150677584	0.0445131505429256	0.046
BodyMass_kg	Allochrocebus_lhoesti	Alouatta_macconnelli	27.746283	0.87	0.086708150677584	0.042928598731767	0.048
BodyMass_kg	Allochrocebus_lhoesti	Alouatta_nigerrima	27.746283	0.95	0.0946813139582814	0.0472969960268701	0.055
BodyMass_kg	Allochrocebus_lhoesti	Alouatta_palliata	26.081161	0.62	0.0617920154254047	0.0300464668361911	0.03
BodyMass_kg	Allochrocebus_lhoesti	Alouatta_seniculus	28.000725	0.51	0.0508289159144458	0.0254271260607915	0.024
BodyMass_kg	Allochrocebus_lhoesti	Aotus_griseimembra	25.940406	4.99	0.497326059633499	0.259726231367214	0.261
BodyMass_kg	Allochrocebus_lhoesti	Aotus_vociferans	25.940406	4.8	0.478389796841843	0.245570557977513	0.244
BodyMass_kg	Allochrocebus_lhoesti	Arctocebus_calabarensis	34.066907	5.19	0.517258967835243	0.228029492064945	0.232
BodyMass_kg	Allochrocebus_lhoesti	Ateles_belzebuth	27.620075	2.57	0.256137870392403	0.127032266119944	0.127
BodyMass_kg	Allochrocebus_lhoesti	Ateles_chamek	27.901439	3.87	0.385701773703736	0.1883179813557	0.19
BodyMass_kg	Allochrocebus_lhoesti	Ateles_geoffroyi	27.129636	2.04	0.203315663657783	0.0967069650301506	0.092
BodyMass_kg	Allochrocebus_lhoesti	Ateles_marginatus	27.901439	1.46	0.145510229872727	0.0642301057337009	0.061
BodyMass_kg	Allochrocebus_lhoesti	Ateles_paniscus	27.234164	2.78	0.277067424004234	0.132573589684462	0.132
BodyMass_kg	Allochrocebus_lhoesti	Avahi_laniger	36.236234	4.325	0.431049139862702	0.18236770466182	0.173
BodyMass_kg	Allochrocebus_lhoesti	Avahi_peyrierasi	36.236234	4.445	0.443008884783748	0.194813935528635	0.196
BodyMass_kg	Allochrocebus_lhoesti	Cacajao_calvus	29.126456	2.33	0.232218380550311	0.123919783134461	0.129
BodyMass_kg	Allochrocebus_lhoesti	Cacajao_melanocephalus	29.778105	2.56	0.255141224982316	0.127921939791422	0.13
BodyMass_kg	Allochrocebus_lhoesti	Callibella_humilis	30.202649	5.38	0.536195230626899	0.252136854644344	0.253
BodyMass_kg	Allochrocebus_lhoesti	Callimico_goeldii	25.152815	5.02	0.500315995863761	0.245973386789764	0.237
BodyMass_kg	Allochrocebus_lhoesti	Callithrix_geoffroyi	30.987531	5.26	0.524235485705853	0.250134185226054	0.256
BodyMass_kg	Allochrocebus_lhoesti	Callithrix_jacchus	31.098776	5.18	0.516262322425155	0.247799201046788	0.252
BodyMass_kg	Allochrocebus_lhoesti	Callithrix_kuhlii	31.098776	5.12	0.510282449964632	0.256742692412127	0.27
BodyMass_kg	Allochrocebus_lhoesti	Carlito_syrichta	22.498138	5.37	0.535198585216812	0.285995173923139	0.281
BodyMass_kg	Allochrocebus_lhoesti	Cebuella_pygmaea	30.666728	5.38	0.536195230626899	0.256619167739994	0.256
BodyMass_kg	Allochrocebus_lhoesti	Cebus_albifrons	28.296677	2.76	0.27507413318406	0.124859135258743	0.129
BodyMass_kg	Allochrocebus_lhoesti	Cebus_olivaceus	28.083681	2.62	0.261121097442839	0.126333305913695	0.125
BodyMass_kg	Allochrocebus_lhoesti	Cebus_unicolor	28.296677	2.76	0.27507413318406	0.126321450051705	0.126
BodyMass_kg	Allochrocebus_lhoesti	Cheirogaleus_major	33.449673	4.995	0.497824382338543	0.240926048845539	0.238
BodyMass_kg	Allochrocebus_lhoesti	Cheirogaleus_medius	33.449673	5.324	0.530614016330411	0.251225780146073	0.241
BodyMass_kg	Allochrocebus_lhoesti	Cheracebus_lucifer	28.077081	4	0.398658164034869	0.193510549832239	0.198
BodyMass_kg	Allochrocebus_lhoesti	Cheracebus_lugens	27.932684	4.13	0.411614554366002	0.199119247392406	0.203
BodyMass_kg	Allochrocebus_lhoesti	Cheracebus_regulus	28.459359	4.25	0.423574299287048	0.205228287672997	0.211
BodyMass_kg	Allochrocebus_lhoesti	Cheracebus_torquatus	28.459359	4.25	0.423574299287048	0.204857912118289	0.202
BodyMass_kg	Allochrocebus_lhoesti	Chiropotes_albinasus	28.836154	2.68	0.267100969903362	0.130338992277148	0.129
BodyMass_kg	Allochrocebus_lhoesti	Chiropotes_sagulatus	29.761901	2.5	0.249161352521793	0.117737242762464	0.12
BodyMass_kg	Allochrocebus_lhoesti	Colobus_angolensis	12.031168	3.1	0.308960077127023	0.231132814731257	0.234
BodyMass_kg	Allochrocebus_lhoesti	Colobus_guereza	12.626245	3.39	0.337862794019551	0.23699077961167	0.236
BodyMass_kg	Allochrocebus_lhoesti	Colobus_polykomos	12.626245	3.6	0.358792347631382	0.261200195981728	0.254
BodyMass_kg	Allochrocebus_lhoesti	Daubentonia_madagascariensis	23.802683	2.955	0.294508718680759	0.160935604887344	0.168
BodyMass_kg	Allochrocebus_lhoesti	Eulemur_albifrons	35.881698	3.46	0.344839311890162	0.146762678125381	0.153
BodyMass_kg	Allochrocebus_lhoesti	Eulemur_collaris	35.741024	3.34	0.332879566969116	0.149957764507208	0.155
