species	family	primate_group_code	primate_group
Lepilemur_jamesorum	Lepilemuridae	STR	Strepsirrhines
Lepilemur_leucopus	Lepilemuridae	STR	Strepsirrhines
Lepilemur_microdon	Lepilemuridae	STR	Strepsirrhines
Lepilemur_milanoii	Lepilemuridae	STR	Strepsirrhines
Lepilemur_mittermeieri	Lepilemuridae	STR	Strepsirrhines
Lepilemur_mustelinus	Lepilemuridae	STR	Strepsirrhines
Lepilemur_otto	Lepilemuridae	STR	Strepsirrhines
Lepilemur_petteri	Lepilemuridae	STR	Strepsirrhines
Lepilemur_randrianasoloi	Lepilemuridae	STR	Strepsirrhines
Lepilemur_ruficaudatus	Lepilemuridae	STR	Strepsirrhines
Lepilemur_sahamalazensis	Lepilemuridae	STR	Strepsirrhines
Lepilemur_scottorum	Lepilemuridae	STR	Strepsirrhines
Lepilemur_seali	Lepilemuridae	STR	Strepsirrhines
Lepilemur_septentrionalis	Lepilemuridae	STR	Strepsirrhines
Lepilemur_tymerlachsoni	Lepilemuridae	STR	Strepsirrhines
Lepilemur_wrightae	Lepilemuridae	STR	Strepsirrhines
Lophocebus_albigena	Cercopithecidae	OWM	Old World monkeys
Lophocebus_aterrimus	Cercopithecidae	OWM	Old World monkeys
Lophocebus_johnstoni	Cercopithecidae	OWM	Old World monkeys
Lophocebus_opdenboschi	Cercopithecidae	OWM	Old World monkeys
Lophocebus_osmani	Cercopithecidae	OWM	Old World monkeys
Lophocebus_ugandae	Cercopithecidae	OWM	Old World monkeys
Loris_lydekkerianus	Lorisidae	STR	Strepsirrhines
Loris_tardigradus	Lorisidae	STR	Strepsirrhines
Macaca_arctoides	Cercopithecidae	OWM	Old World monkeys
Macaca_assamensis	Cercopithecidae	OWM	Old World monkeys
Macaca_cyclopis	Cercopithecidae	OWM	Old World monkeys
Macaca_fascicularis	Cercopithecidae	OWM	Old World monkeys
Macaca_fuscata	Cercopithecidae	OWM	Old World monkeys
Macaca_hecki	Cercopithecidae	OWM	Old World monkeys
Macaca_leonina	Cercopithecidae	OWM	Old World monkeys
Macaca_leucogenys	Cercopithecidae	OWM	Old World monkeys
Macaca_maura	Cercopithecidae	OWM	Old World monkeys
Macaca_mulatta	Cercopithecidae	OWM	Old World monkeys
Macaca_munzala	Cercopithecidae	OWM	Old World monkeys
Macaca_nemestrina	Cercopithecidae	OWM	Old World monkeys
Macaca_nigra	Cercopithecidae	OWM	Old World monkeys
Macaca_nigrescens	Cercopithecidae	OWM	Old World monkeys
Macaca_ochreata	Cercopithecidae	OWM	Old World monkeys
Macaca_pagensis	Cercopithecidae	OWM	Old World monkeys
Macaca_radiata	Cercopithecidae	OWM	Old World monkeys
Macaca_siberu	Cercopithecidae	OWM	Old World monkeys
Macaca_silenus	Cercopithecidae	OWM	Old World monkeys
Macaca_sinica	Cercopithecidae	OWM	Old World monkeys
Macaca_sylvanus	Cercopithecidae	OWM	Old World monkeys
Macaca_thibetana	Cercopithecidae	OWM	Old World monkeys
Macaca_tonkeana	Cercopithecidae	OWM	Old World monkeys
Mandrillus_leucophaeus	Cercopithecidae	OWM	Old World monkeys
Mandrillus_sphinx	Cercopithecidae	OWM	Old World monkeys
Mico_acariensis	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Mico_argentatus	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Mico_chrysoleucos	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Mico_emiliae	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Mico_humeralifer	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Mico_humilis	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Mico_intermedius	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Mico_leucippe	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Mico_marcai	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Mico_mauesi	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Mico_melanurus	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Mico_nigriceps	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Mico_rondoni	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Mico_saterei	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Microcebus_arnholdi	Cheirogaleidae	STR	Strepsirrhines
Microcebus_berthae	Cheirogaleidae	STR	Strepsirrhines
